Num. Replicas,n_points,E_point_estimate,n_bootstrap_ok,E_ci_lower,E_ci_upper,min_measured_loss,reliable
0,6,3.594212552523443,275,3.535877911874844,3.6639364547699316,3.9014954566955566,True
1,5,1.8377078436292522,274,1.760138396593316,1.8730403538938225,1.983415365219116,True
3,5,1.6758841497363677,276,1.5964735297654165,1.747755567756407,1.7729350328445437,True
10,5,1.2284486184962091,275,1.2157035027690182,1.325107705730846,1.3485013246536257,True
32,5,2.363622545014108e-44,276,2.363622545014108e-44,2.363622545014108e-44,0.2732990980148315,False
100,5,0.047390357008574406,266,0.007501009622977024,0.05952729846223133,0.0562366619706153,True
316,6,0.03472977352635336,282,0.034087221842745624,0.03557300604836872,0.0353578738868236,True
1000,3,0.029829060134905855,79,0.029829059517392086,0.029829059517392086,0.0324865877628326,False
