Num. Replicas,Original,Rephrased,Perturbed
0,0.0,0.0,0.0
1,0.0011997600479904018,0.001799640071985603,0.001999600079984003
3,0.002599480103979204,0.0023995200959808036,0.002999400119976005
10,0.002999400119976005,0.003199360127974405,0.0023995200959808036
32,0.0057988402319536095,0.0061987602479504095,0.005398920215956809
100,0.007398520295940812,0.0057988402319536095,0.0065986802639472104
316,0.0065986802639472104,0.0057988402319536095,0.00599880023995201
1000,0.010397920415916816,0.010997800439912017,0.007798440311937612
3162,0.005198960207958408,0.005198960207958408,0.005198960207958408
