protocol,sweep,run_id,Model,Parameters,Num. Replicas,Overtrain Multiplier,Temp.,n_problems,math_verify_score,n_rescored,n_score_exceptions,logged_score,strict_score,boxed_rate
0-shot,vnz1h147,h1eof0ky,RylanSchaeffer/mem_Qwen3-153M_minerva_math_rep_3_sbst_1.0000_epch_1_ot_1,153M,3,1.0,0.0,5001,0.0181963607278544,5001,0,0.018196360727854428,0.0003999200159968006,0.01759648070385923
0-shot,vnz1h147,fvzsslld,RylanSchaeffer/mem_Qwen3-153M_minerva_math_rep_10_sbst_1.0000_epch_1_ot_1,153M,10,1.0,0.0,5001,0.0177964407118576,5001,0,0.01779644071185763,0.0007998400319936012,0.047190561887622474
0-shot,vnz1h147,4lmh2rch,RylanSchaeffer/mem_Qwen3-153M_minerva_math_rep_32_sbst_1.0000_epch_1_ot_1,153M,32,1.0,0.0,5001,0.0249950009998,5001,0,0.02499500099980004,0.020195960807838434,0.7196560687862428
0-shot,vnz1h147,xqe689gl,RylanSchaeffer/mem_Qwen3-153M_minerva_math_rep_316_sbst_1.0000_epch_1_ot_1,153M,316,1.0,0.0,5001,1.0,5001,0,1.0,0.9984003199360127,1.0
0-shot,vnz1h147,kfeppd27,RylanSchaeffer/mem_Qwen3-153M_minerva_math_rep_1000_sbst_1.0000_epch_1_ot_1,153M,1000,1.0,0.0,5001,1.0,5001,0,1.0,0.9984003199360127,1.0
0-shot,vnz1h147,k9wg5tyo,RylanSchaeffer/mem_Qwen3-153M_minerva_math_rep_100_sbst_1.0000_epch_1_ot_1,153M,100,1.0,0.0,5001,0.8088382323535293,5001,0,0.8088382323535293,0.8074385122975405,0.982003599280144
0-shot,39rugx2e,tkxvhxgf,RylanSchaeffer/mem_Qwen3-344M_minerva_math_rep_3_sbst_1.0000_epch_1_ot_1,344M,3,1.0,0.0,5001,0.0153969206158768,5001,0,0.015396920615876825,0.0005998800239952009,0.022395520895820836
0-shot,39rugx2e,r0m0b7k1,RylanSchaeffer/mem_Qwen3-344M_minerva_math_rep_10_sbst_1.0000_epch_1_ot_1,344M,10,1.0,0.0,5001,0.0217956408718256,5001,0,0.021795640871825634,0.002599480103979204,0.10577884423115377
0-shot,39rugx2e,d3usgogz,RylanSchaeffer/mem_Qwen3-344M_minerva_math_rep_32_sbst_1.0000_epch_1_ot_1,344M,32,1.0,0.0,5001,0.1271745650869826,5001,0,0.1271745650869826,0.1255748850229954,0.9120175964807039
0-shot,39rugx2e,k7crfmph,RylanSchaeffer/mem_Qwen3-344M_minerva_math_rep_100_sbst_1.0000_epch_1_ot_1,344M,100,1.0,0.0,5001,0.9912017596480704,5001,0,0.9912017596480703,0.9896020795840832,0.998000399920016
0-shot,39rugx2e,uq8sunma,RylanSchaeffer/mem_Qwen3-344M_minerva_math_rep_1000_sbst_1.0000_epch_1_ot_1,344M,1000,1.0,0.0,5001,1.0,5001,0,1.0,0.9984003199360127,1.0
0-shot,39rugx2e,1yml0np5,RylanSchaeffer/mem_Qwen3-344M_minerva_math_rep_3162_sbst_1.0000_epch_1_ot_1,344M,3162,1.0,0.0,5001,1.0,5001,0,1.0,0.9984003199360127,1.0
0-shot,39rugx2e,2qi0kpg7,RylanSchaeffer/mem_Qwen3-344M_minerva_math_rep_1_sbst_1.0000_epch_1_ot_1,344M,1,1.0,0.0,5001,0.012997400519896,5001,0,0.012997400519896021,0.0003999200159968006,0.01779644071185763
4-shot,qx2c4702,ve2vh284,RylanSchaeffer/mem_Qwen3-34M_minerva_math_rep_0_sbst_1.0000_epch_1_ot_1,34M,0,1.0,0.0,5001,0.0,5001,0,0.0,0.0,0.0
4-shot,qx2c4702,tf0rswrx,RylanSchaeffer/mem_Qwen3-34M_minerva_math_rep_1_sbst_1.0000_epch_1_ot_1,34M,1,1.0,0.0,5001,0.0,5001,0,0.0,0.0,0.0
4-shot,qx2c4702,189fsppt,RylanSchaeffer/mem_Qwen3-34M_minerva_math_rep_3_sbst_1.0000_epch_1_ot_1,34M,3,1.0,0.0,5001,0.0,5001,0,0.0,0.0,0.0
4-shot,qx2c4702,x8jvk6g7,RylanSchaeffer/mem_Qwen3-34M_minerva_math_rep_10_sbst_1.0000_epch_1_ot_1,34M,10,1.0,0.0,5001,0.0003999200159968,5001,0,0.0003999200159968006,0.0003999200159968006,0.010397920415916816
4-shot,qx2c4702,3u109t8v,RylanSchaeffer/mem_Qwen3-34M_minerva_math_rep_32_sbst_1.0000_epch_1_ot_1,34M,32,1.0,0.0,5001,0.006998600279944,5001,0,0.006998600279944011,0.006998600279944011,0.3853229354129174
4-shot,qx2c4702,6qen2jn5,RylanSchaeffer/mem_Qwen3-34M_minerva_math_rep_100_sbst_1.0000_epch_1_ot_1,34M,100,1.0,0.0,5001,0.00499900019996,5001,0,0.004999000199960008,0.004999000199960008,0.395120975804839
