Parameters,R,T,n,n_boxed,n_exc,logged,strict,run_id
93M,32,1.29154967,5001,0,0,0.011997600479904,0.0,4o16jwpp
93M,32,1.5,5001,0,0,0.002999400119976,0.0,bafjccsf
93M,100,0.0,5001,4708,0,0.3729254149170166,0.3725254949010197,7d18qqks
93M,100,0.1,5001,4736,0,0.3723255348930214,0.371125774845031,azge81iw
93M,100,0.1778,5001,4717,0,0.3639272145570886,0.3633273345330934,1pxwsyyg
93M,100,0.3162,5001,4739,0,0.3341331733653269,0.3331333733253349,k64oys9m
93M,100,0.5623,5001,4664,0,0.2323535292941411,0.2313537292541491,oh0oymll
93M,100,0.75,5001,4541,0,0.1169766046790641,0.1149770045990801,xinmwo9f
93M,100,0.93804187,5001,3365,0,0.025994801039792,0.020995800839832,lr7xz32a
93M,100,1.0,5001,1965,0,0.018996200759848,0.0127974405118976,8fssvfve
93M,100,1.29154967,5001,4,0,0.0185962807438512,0.0001999600079984,l73ij6dq
93M,100,1.5,5001,0,0,0.020995800839832,0.0,7irnrlw9
93M,316,0.0,5001,4999,0,0.9872025594881024,0.9856028794241152,5sd4yg0z
93M,316,0.1,5001,5000,0,0.9872025594881024,0.9856028794241152,574rg7im
93M,316,0.1778,5001,4999,0,0.9866026794641072,0.98500299940012,6ebhvjnj
93M,316,0.3162,5001,5000,0,0.9846030793841232,0.9828034393121376,pp0390fr
93M,316,0.5623,5001,4981,0,0.9348130373925216,0.9332133573285344,xg6lpjjr
93M,316,0.75,5001,4861,0,0.6530693861227754,0.6514697060587883,c20yy9s2
93M,316,0.93804187,5001,4062,0,0.1537692461507698,0.1509698060387922,eu0f9344
93M,316,1.0,5001,2968,0,0.0627874425114977,0.0561887622475504,tkx76fik
93M,316,1.29154967,5001,10,0,0.0153969206158768,0.0,pzh5upni
93M,316,1.5,5001,0,0,0.0063987202559488,0.0,vjh7alxa
93M,1000,0.0,5001,5001,0,0.9994001199760048,0.9978004399120176,yy0kmcsk
93M,1000,0.1,5001,5001,0,0.9994001199760048,0.9978004399120176,72inevww
93M,1000,0.1778,5001,5001,0,0.9994001199760048,0.9978004399120176,kugdpq3e
93M,1000,0.3162,5001,5001,0,0.9994001199760048,0.9978004399120176,xojrkbd4
93M,1000,0.5623,5001,5001,0,0.9964007198560288,0.9948010397920416,qfortmri
93M,1000,0.75,5001,4970,0,0.860627874425115,0.8592281543691261,qizm9xdw
93M,1000,0.93804187,5001,4613,0,0.2865426914617076,0.2835432913417317,mujtq4cc
93M,1000,1.0,5001,4096,0,0.1121775644871025,0.1069786042791441,2bay3c7n
93M,1000,1.29154967,5001,20,0,0.0181963607278544,0.0001999600079984,zi8s5vjt
93M,1000,1.5,5001,0,0,0.0041991601679664,0.0,42lytpl8
