Parameters,R,T,n,n_boxed,n_exc,logged,strict,run_id
153M,1000,1.0,5001,4206,0,0.2785442911417716,0.2761447710457908,w1qu60ql
153M,1000,1.29154967,5001,33,0,0.0153969206158768,0.0003999200159968,7hlm3q4n
153M,1000,1.5,5001,0,0,0.0105978804239152,0.0,go9sziun
344M,1,0.0,5001,89,0,0.012997400519896,0.0003999200159968,2qi0kpg7
344M,1,0.1,5001,71,0,0.0157968406318736,0.0005998800239952,60e0cjjy
344M,1,0.1778,5001,83,0,0.0145970805838832,0.0003999200159968,3x3rglz3
344M,1,0.3162,5001,144,0,0.0133973205358928,0.0001999600079984,6qnd8i83
344M,1,0.5623,5001,471,0,0.0183963207358528,0.0025994801039792,laoopxzv
344M,1,0.75,5001,1339,0,0.0137972405518896,0.0035992801439712,8n70fz1j
344M,1,0.93804187,5001,2067,0,0.0127974405118976,0.0065986802639472,3lkxv7an
344M,1,1.0,5001,1779,0,0.0107978404319136,0.0043991201759648,2ukse903
344M,1,1.29154967,5001,4,0,0.0187962407518496,0.0,4dwu1gpi
344M,1,1.5,5001,0,0,0.010997800439912,0.0,00d3dsng
344M,3,0.0,5001,112,0,0.0153969206158768,0.0005998800239952,tkxvhxgf
344M,3,0.1,5001,96,0,0.0167966406718656,0.0007998400319936,5u15kanm
344M,3,0.1778,5001,125,0,0.0167966406718656,0.0003999200159968,3jplpj8q
344M,3,0.3162,5001,230,0,0.0135972805438912,0.0005998800239952,jr0d6o4w
344M,3,0.5623,5001,935,0,0.0151969606078784,0.0033993201359728,v4q22jhm
344M,3,0.75,5001,2289,0,0.0135972805438912,0.0067986402719456,6jc8ia8j
344M,3,0.93804187,5001,2800,0,0.0111977604479104,0.0061987602479504,uc9mmoc0
344M,3,1.0,5001,2428,0,0.0121975604879024,0.00499900019996,cifzzwgi
344M,3,1.29154967,5001,6,0,0.0193961207758448,0.0,pv5btg0p
344M,3,1.5,5001,0,0,0.0215956808638272,0.0,zonxxkyn
344M,10,0.0,5001,529,0,0.0217956408718256,0.0025994801039792,r0m0b7k1
344M,10,0.1,5001,602,0,0.0195960807838432,0.0023995200959808,hrjkxhjs
344M,10,0.1778,5001,762,0,0.021995600879824,0.0037992401519696,jovy0x1k
344M,10,0.3162,5001,1365,0,0.021995600879824,0.0061987602479504,hdzq9yrw
344M,10,0.5623,5001,2852,0,0.0181963607278544,0.0111977604479104,9tztb4un
344M,10,0.75,5001,3923,0,0.0153969206158768,0.0125974805038992,12wq7zs5
344M,10,0.93804187,5001,4178,0,0.012997400519896,0.00999800039992,tcr3l4if
344M,10,1.0,5001,3797,0,0.0103979204159168,0.0075984803039392,htqkzwmo
344M,10,1.29154967,5001,17,0,0.0167966406718656,0.0001999600079984,ow18j4fo
344M,10,1.5,5001,0,0,0.0249950009998,0.0,i2yoj0h2
344M,32,0.0,5001,4561,0,0.1271745650869826,0.1255748850229954,d3usgogz
344M,32,0.1,5001,4573,0,0.1261747650469906,0.1239752049590082,m2dgryns
344M,32,0.1778,5001,4574,0,0.1247750449910018,0.122375524895021,v4o340vw
344M,32,0.3162,5001,4621,0,0.1027794441111777,0.1013797240551889,a0gga04t
344M,32,0.5623,5001,4660,0,0.0647870425914817,0.0641871625674865,ip93o04i
344M,32,0.75,5001,4638,0,0.0421915616876624,0.041991601679664,mgd1crfw
344M,32,0.93804187,5001,4253,0,0.0261947610477904,0.0241951609678064,pqhawod4
344M,32,1.0,5001,3590,0,0.0193961207758448,0.0145970805838832,n6l0yo5p
344M,32,1.29154967,5001,39,0,0.0171965606878624,0.0,gka4n8sa
344M,32,1.5,5001,0,0,0.0233953209358128,0.0,qtfz3s6x
344M,100,0.0,5001,4991,0,0.9912017596480704,0.9896020795840832,k7crfmph
344M,100,0.1,5001,4989,0,0.9914017196560688,0.9898020395920816,iec1lb1j
344M,100,0.1778,5001,4992,0,0.991001799640072,0.9896020795840832,os2d152i
344M,100,0.3162,5001,4988,0,0.9818036392721456,0.9804039192161568,jtp6prqu
344M,100,0.5623,5001,4943,0,0.8552289542091581,0.8544291141771646,l2mcf5kh
344M,100,0.75,5001,4836,0,0.5932813437312537,0.5924815036992601,4h77m65h
344M,100,0.93804187,5001,4558,0,0.2709458108378324,0.2693461307738452,x9d18wlj
344M,100,1.0,5001,4203,0,0.1787642471505698,0.1757648470305939,tdr02xlh
344M,100,1.29154967,5001,119,0,0.0251949610077984,0.0043991201759648,uecx1q3g
344M,100,1.5,5001,0,0,0.020995800839832,0.0,i2vldcuw
344M,1000,0.0,5001,5001,0,1.0,0.9984003199360127,uq8sunma
344M,1000,0.1,5001,5001,0,1.0,0.9984003199360127,14vb1d0i
344M,1000,0.1778,5001,5001,0,1.0,0.9984003199360127,etzqqf0k
344M,1000,0.3162,5001,5001,0,1.0,0.9984003199360127,ql66rbol
344M,1000,0.5623,5001,4999,0,0.9996000799840032,0.998000399920016,m3q6x76u
344M,1000,0.75,5001,5000,0,0.9898020395920816,0.9882023595280944,mjr0gv6d
