protocol,sweep,run_id,Model,Parameters,Num. Replicas,Overtrain Multiplier,Temp.,n_problems,math_verify_score
0-shot,39rugx2e,d3usgogz,RylanSchaeffer/mem_Qwen3-344M_minerva_math_rep_32_sbst_1.0000_epch_1_ot_1,344M,32,1.0,0.0,5001,0.1271745650869826
0-shot,39rugx2e,k7crfmph,RylanSchaeffer/mem_Qwen3-344M_minerva_math_rep_100_sbst_1.0000_epch_1_ot_1,344M,100,1.0,0.0,5001,0.9912017596480703
0-shot,39rugx2e,uq8sunma,RylanSchaeffer/mem_Qwen3-344M_minerva_math_rep_1000_sbst_1.0000_epch_1_ot_1,344M,1000,1.0,0.0,5001,1.0
0-shot,39rugx2e,1yml0np5,RylanSchaeffer/mem_Qwen3-344M_minerva_math_rep_3162_sbst_1.0000_epch_1_ot_1,344M,3162,1.0,0.0,5001,1.0
0-shot,39rugx2e,2qi0kpg7,RylanSchaeffer/mem_Qwen3-344M_minerva_math_rep_1_sbst_1.0000_epch_1_ot_1,344M,1,1.0,0.0,5001,0.012997400519896021
4-shot,qx2c4702,ve2vh284,RylanSchaeffer/mem_Qwen3-34M_minerva_math_rep_0_sbst_1.0000_epch_1_ot_1,34M,0,1.0,0.0,5001,0.0
4-shot,qx2c4702,tf0rswrx,RylanSchaeffer/mem_Qwen3-34M_minerva_math_rep_1_sbst_1.0000_epch_1_ot_1,34M,1,1.0,0.0,5001,0.0
4-shot,qx2c4702,189fsppt,RylanSchaeffer/mem_Qwen3-34M_minerva_math_rep_3_sbst_1.0000_epch_1_ot_1,34M,3,1.0,0.0,5001,0.0
4-shot,qx2c4702,x8jvk6g7,RylanSchaeffer/mem_Qwen3-34M_minerva_math_rep_10_sbst_1.0000_epch_1_ot_1,34M,10,1.0,0.0,5001,0.0003999200159968006
4-shot,qx2c4702,3u109t8v,RylanSchaeffer/mem_Qwen3-34M_minerva_math_rep_32_sbst_1.0000_epch_1_ot_1,34M,32,1.0,0.0,5001,0.006998600279944011
4-shot,qx2c4702,6qen2jn5,RylanSchaeffer/mem_Qwen3-34M_minerva_math_rep_100_sbst_1.0000_epch_1_ot_1,34M,100,1.0,0.0,5001,0.004999000199960008
4-shot,qx2c4702,nvfl9cbf,RylanSchaeffer/mem_Qwen3-34M_minerva_math_rep_316_sbst_1.0000_epch_1_ot_1,34M,316,1.0,0.0,5001,0.00599880023995201
