Parameters,Num. Replicas,Temp.,math_verify_score,run_id
62M,3,0.938,0.009398120375924815,jcks6jbc
62M,3,1.2915,0.014597080583883223,j1od8w2r
62M,3,1.5,0.02659468106378724,pcd9jv2o
62M,10,0.75,0.013597280543891222,d7ax4jp8
62M,10,0.938,0.011797640471905619,gf9befxr
62M,10,1.2915,0.004799040191961607,5aap5gu7
62M,10,1.5,0.02519496100779844,1rkhq2bw
62M,32,0.75,0.01259748050389922,3tzwx2v8
62M,32,0.938,0.011597680463907219,gr15fh7d
62M,32,1.2915,0.011397720455908818,5gz49frl
62M,32,1.5,0.02659468106378724,s7p1lt4w
62M,100,0.75,0.024795040991801638,711coqo8
62M,100,0.938,0.01759648070385923,gvhjz6dt
62M,100,1.2915,0.009798040391921616,xn7kha0t
62M,100,1.5,0.01739652069586083,2bkpsixm
62M,316,0.75,0.2871425714857029,mglt2q6c
62M,316,0.938,0.03279344131173765,7hpei6hg
62M,316,1.5,0.002999400119976005,uiu1ua3f
62M,316,1.2915,0.0065986802639472104,27w91a7w
93M,0,0.0,0.007398520295940812,k4j7fof8
93M,0,0.1,0.007598480303939212,vrzp1ehn
93M,0,0.1778,0.011597680463907219,8lmo8q8v
93M,0,0.3162,0.011797640471905619,gdr8o0qg
93M,0,0.5623,0.007798440311937612,j5y0jc3x
93M,0,1.0,0.01199760047990402,fieok4eu
93M,1,0.0,0.013197360527894421,qbkm68yd
93M,1,0.1,0.014197160567886422,rywqzw5g
93M,1,0.1778,0.015196960607878424,nqkx12ct
93M,1,0.3162,0.01279744051189762,lywsffiz
93M,1,0.5623,0.010797840431913617,ny7ws1r1
93M,1,1.0,0.013397320535892822,id6t4p28
93M,3,0.0,0.014197160567886422,d8p2iszh
93M,3,0.1,0.011797640471905619,eclac3qe
93M,3,0.1778,0.014197160567886422,bik5podq
93M,3,0.3162,0.014597080583883223,jogf7698
93M,3,0.5623,0.016796640671865627,mdlsjjcv
93M,3,1.0,0.009198160367926415,aze4pskd
93M,10,0.0,0.01759648070385923,zeiydfz2
93M,10,0.1,0.015796840631873626,hlm65jnr
93M,10,0.1778,0.01739652069586083,ala9d8qk
93M,10,0.3162,0.017196560687862426,424bozwb
93M,10,0.5623,0.01779644071185763,g5hln02e
93M,10,1.0,0.010997800439912017,sd3gq03o
93M,32,0.0,0.02539492101579684,1vkk44fb
93M,32,0.1,0.021595680863827234,tigkonh4
93M,32,0.1778,0.020395920815836834,vf6yw8ki
93M,32,0.3162,0.020195960807838434,v7ioisyg
93M,32,0.5623,0.021595680863827234,88ulzch2
93M,32,1.0,0.013397320535892822,o76qq9e6
93M,100,0.0,0.3729254149170166,7d18qqks
93M,100,0.1,0.3723255348930214,azge81iw
93M,100,0.1778,0.3639272145570886,1pxwsyyg
93M,100,0.3162,0.33413317336532694,k64oys9m
93M,100,0.5623,0.23235352929414116,oh0oymll
93M,100,1.0,0.01899620075984803,8fssvfve
93M,316,0.0,0.9872025594881024,5sd4yg0z
93M,316,0.1,0.9872025594881024,574rg7im
93M,316,0.1778,0.9866026794641072,6ebhvjnj
93M,316,0.3162,0.9846030793841232,pp0390fr
93M,316,0.5623,0.9348130373925215,xg6lpjjr
93M,316,1.0,0.0627874425114977,tkx76fik
93M,1000,0.0,0.9994001199760048,yy0kmcsk
93M,1000,0.1,0.9994001199760048,72inevww
93M,1000,0.1778,0.9994001199760048,kugdpq3e
93M,1000,0.3162,0.9994001199760048,xojrkbd4
93M,1000,0.5623,0.9964007198560288,qfortmri
93M,1000,1.0,0.11217756448710257,2bay3c7n
93M,0,0.75,0.00639872025594881,p0ipzcs8
