run_id,stage,Model,Temp.,n_samples,boxed_rate,math_verify_score,empty_rate,mean_response_chars,Parameters,Num. Replicas,Overtrain Multiplier,is_sft
iwwlj8ug,pretrained,RylanSchaeffer/mem_Qwen3-62M_minerva_math_rep_10_sbst_1.0000_epch_1_ot_1,0.0,5001,0.038592281543691265,0.0007998400319936012,0.0,3231.9768046390723,62M,10,1.0,False
gpgtcec5,pretrained,RylanSchaeffer/mem_Qwen3-62M_minerva_math_rep_32_sbst_1.0000_epch_1_ot_1,0.0,5001,0.33213357328534293,0.0009998000399920016,0.0,1258.9732053589282,62M,32,1.0,False
jzqnwuit,pretrained,RylanSchaeffer/mem_Qwen3-62M_minerva_math_rep_100_sbst_1.0000_epch_1_ot_1,0.0,5001,0.6482703459308138,0.0061987602479504095,0.0,144.44251149770045,62M,100,1.0,False
hqseauvt,pretrained,RylanSchaeffer/mem_Qwen3-62M_minerva_math_rep_316_sbst_1.0000_epch_1_ot_1,0.0,5001,0.6594681063787242,0.00599880023995201,0.0,138.37192561487703,62M,316,1.0,False
492evotv,pretrained,RylanSchaeffer/mem_Qwen3-93M_minerva_math_rep_0_sbst_1.0000_epch_1_ot_1,0.0,5001,0.0,0.0,0.0001999600079984003,3256.177764447111,93M,0,1.0,False
wtfxqh5j,pretrained,RylanSchaeffer/mem_Qwen3-93M_minerva_math_rep_1_sbst_1.0000_epch_1_ot_1,0.0,5001,0.0631873625274945,0.0001999600079984003,0.0,5196.044191161767,93M,1,1.0,False
bvmztk5l,pretrained,RylanSchaeffer/mem_Qwen3-93M_minerva_math_rep_3_sbst_1.0000_epch_1_ot_1,0.0,5001,0.5998800239952009,0.005398920215956809,0.0,1507.2623475304938,93M,3,1.0,False
af4xkwn3,pretrained,RylanSchaeffer/mem_Qwen3-93M_minerva_math_rep_10_sbst_1.0000_epch_1_ot_1,0.0,5001,0.526494701059788,0.005398920215956809,0.0,2105.5462907418514,93M,10,1.0,False
gd78rq01,pretrained,RylanSchaeffer/mem_Qwen3-93M_minerva_math_rep_32_sbst_1.0000_epch_1_ot_1,0.0,5001,0.5684863027394521,0.005198960207958408,0.0,741.134573085383,93M,32,1.0,False
h8r60oku,pretrained,RylanSchaeffer/mem_Qwen3-93M_minerva_math_rep_100_sbst_1.0000_epch_1_ot_1,0.0,5001,0.6954609078184363,0.003599280143971206,0.0,164.00739852029594,93M,100,1.0,False
cqx6lcs4,pretrained,RylanSchaeffer/mem_Qwen3-93M_minerva_math_rep_316_sbst_1.0000_epch_1_ot_1,0.0,5001,0.42911417716456707,0.005398920215956809,0.0,114.42671465706859,93M,316,1.0,False
jyco3jac,pretrained,RylanSchaeffer/mem_Qwen3-93M_minerva_math_rep_1000_sbst_1.0000_epch_1_ot_1,0.0,5001,0.5068986202759448,0.005198960207958408,0.003599280143971206,109.50249950009999,93M,1000,1.0,False
qrnf0h8e,sft,RylanSchaeffer/mem_Qwen3-153M_minerva_math_rep_0_sbst_1.0000_epch_1_ot_1_sft,0.0,5001,0.0,0.0,0.0,3103.3029394121177,153M,0,1.0,True
oixuhasm,sft,RylanSchaeffer/mem_Qwen3-153M_minerva_math_rep_1_sbst_1.0000_epch_1_ot_1_sft,0.0,5001,0.23055388922215556,0.0027994401119776045,0.0,2168.025394921016,153M,1,1.0,True
m7ph8200,sft,RylanSchaeffer/mem_Qwen3-153M_minerva_math_rep_3_sbst_1.0000_epch_1_ot_1_sft,0.0,5001,0.3385322935412917,0.0023995200959808036,0.0,2216.6758648270347,153M,3,1.0,True
k96psa6x,sft,RylanSchaeffer/mem_Qwen3-153M_minerva_math_rep_10_sbst_1.0000_epch_1_ot_1_sft,0.0,5001,0.5132973405318936,0.006798640271945611,0.0001999600079984003,1946.886022795441,153M,10,1.0,True
udrgxg6o,sft,RylanSchaeffer/mem_Qwen3-153M_minerva_math_rep_32_sbst_1.0000_epch_1_ot_1_sft,0.0,5001,0.4999000199960008,0.006998600279944011,0.0,1784.2237552489503,153M,32,1.0,True
