run_id,problem_id,Parameters,Num. Parameters,Num. MATH Test Set Replicas,Stage,Per-Problem Mean NLL
3bj3ojqn,log_prob_token_70,153M,153000000.0,10,Post-SFT,1.8288967886788732
3bj3ojqn,log_prob_token_71,153M,153000000.0,10,Post-SFT,1.8352456196995106
3bj3ojqn,log_prob_token_72,153M,153000000.0,10,Post-SFT,1.7700552418136206
3bj3ojqn,log_prob_token_73,153M,153000000.0,10,Post-SFT,1.8174806085538375
3bj3ojqn,log_prob_token_74,153M,153000000.0,10,Post-SFT,1.8267473798138787
3bj3ojqn,log_prob_token_75,153M,153000000.0,10,Post-SFT,1.766538939368085
3bj3ojqn,log_prob_token_76,153M,153000000.0,10,Post-SFT,1.7715193415222161
3bj3ojqn,log_prob_token_77,153M,153000000.0,10,Post-SFT,1.8614779753698514
3bj3ojqn,log_prob_token_78,153M,153000000.0,10,Post-SFT,1.7809000025579418
3bj3ojqn,log_prob_token_79,153M,153000000.0,10,Post-SFT,1.8302816518534002
3bj3ojqn,log_prob_token_80,153M,153000000.0,10,Post-SFT,1.8509704274947671
3bj3ojqn,log_prob_token_81,153M,153000000.0,10,Post-SFT,1.7818752995892977
3bj3ojqn,log_prob_token_82,153M,153000000.0,10,Post-SFT,1.793476545751534
3bj3ojqn,log_prob_token_83,153M,153000000.0,10,Post-SFT,1.7850809285347145
3bj3ojqn,log_prob_token_84,153M,153000000.0,10,Post-SFT,1.7694670483580004
3bj3ojqn,log_prob_token_85,153M,153000000.0,10,Post-SFT,1.779565505980053
3bj3ojqn,log_prob_token_86,153M,153000000.0,10,Post-SFT,1.7492617135233413
3bj3ojqn,log_prob_token_87,153M,153000000.0,10,Post-SFT,1.7675969886710452
3bj3ojqn,log_prob_token_88,153M,153000000.0,10,Post-SFT,1.807450065650933
3bj3ojqn,log_prob_token_89,153M,153000000.0,10,Post-SFT,1.785762813127799
3bj3ojqn,log_prob_token_90,153M,153000000.0,10,Post-SFT,1.7758468372079483
3bj3ojqn,log_prob_token_91,153M,153000000.0,10,Post-SFT,1.774486060801428
3bj3ojqn,log_prob_token_92,153M,153000000.0,10,Post-SFT,1.8017985608973948
3bj3ojqn,log_prob_token_93,153M,153000000.0,10,Post-SFT,1.8354420763348884
3bj3ojqn,log_prob_token_94,153M,153000000.0,10,Post-SFT,1.7223453519741645
3bj3ojqn,log_prob_token_95,153M,153000000.0,10,Post-SFT,1.753406208289874
3bj3ojqn,log_prob_token_96,153M,153000000.0,10,Post-SFT,1.7307321661333726
3bj3ojqn,log_prob_token_97,153M,153000000.0,10,Post-SFT,1.8032865304537802
3bj3ojqn,log_prob_token_98,153M,153000000.0,10,Post-SFT,1.7752985563271384
3bj3ojqn,log_prob_token_99,153M,153000000.0,10,Post-SFT,1.7940145772114515
3bj3ojqn,log_prob_token_100,153M,153000000.0,10,Post-SFT,1.7205277361009166
3bj3ojqn,log_prob_token_101,153M,153000000.0,10,Post-SFT,1.769771534688783
3bj3ojqn,log_prob_token_102,153M,153000000.0,10,Post-SFT,1.7748229326822396
3bj3ojqn,log_prob_token_103,153M,153000000.0,10,Post-SFT,1.7355718850726054
3bj3ojqn,log_prob_token_104,153M,153000000.0,10,Post-SFT,1.7640942003577165
3bj3ojqn,log_prob_token_105,153M,153000000.0,10,Post-SFT,1.7458874387623862
3bj3ojqn,log_prob_token_106,153M,153000000.0,10,Post-SFT,1.735546734503949
3bj3ojqn,log_prob_token_107,153M,153000000.0,10,Post-SFT,1.7060300926125636
3bj3ojqn,log_prob_token_108,153M,153000000.0,10,Post-SFT,1.742213538055799
3bj3ojqn,log_prob_token_109,153M,153000000.0,10,Post-SFT,1.758226212694361
3bj3ojqn,log_prob_token_110,153M,153000000.0,10,Post-SFT,1.7311500031045013
3bj3ojqn,log_prob_token_111,153M,153000000.0,10,Post-SFT,1.8026825994590876
3bj3ojqn,log_prob_token_112,153M,153000000.0,10,Post-SFT,1.698482047496827
3bj3ojqn,log_prob_token_113,153M,153000000.0,10,Post-SFT,1.7606954033116404
3bj3ojqn,log_prob_token_114,153M,153000000.0,10,Post-SFT,1.6703901839119013
3bj3ojqn,log_prob_token_115,153M,153000000.0,10,Post-SFT,1.6781038680477194
3bj3ojqn,log_prob_token_116,153M,153000000.0,10,Post-SFT,1.7319872683972364
3bj3ojqn,log_prob_token_117,153M,153000000.0,10,Post-SFT,1.7338797253383318
3bj3ojqn,log_prob_token_118,153M,153000000.0,10,Post-SFT,1.7758005107358712
